CustomerID,FirstName,LastName,Email,RegistrationDate,LoyaltyTier,PreferredStoreID,Customer Tenure
1,Emily,Garcia,customer1@example.com,16-03-2023 00:00:00,Platinum,41,830
2,David,Jones,customer2@example.com,19-01-2022 00:00:00,Platinum,24,1251
3,Mike,Garcia,customer3@example.com,11-10-2023 00:00:00,Silver,35,621
4,David,Garcia,customer4@example.com,15-11-2021 00:00:00,Bronze,30,1316
5,David,Brown,customer5@example.com,04-11-2020 00:00:00,Bronze,30,1692
6,Jane,Garcia,customer6@example.com,25-11-2021 00:00:00,Silver,47,1306
7,Mike,Williams,customer7@example.com,14-10-2020 00:00:00,Bronze,35,1713
8,Mike,Garcia,customer8@example.com,02-11-2020 00:00:00,Silver,19,1694
9,Mike,Garcia,customer9@example.com,02-07-2022 00:00:00,Bronze,50,1087
10,David,Garcia,customer10@example.com,23-10-2021 00:00:00,Gold,8,1339
11,Emily,Smith,customer11@example.com,02-07-2021 00:00:00,Gold,26,1452
12,Mike,Williams,customer12@example.com,07-10-2023 00:00:00,Silver,49,625
13,Sarah,Williams,customer13@example.com,07-11-2020 00:00:00,Bronze,40,1689
14,David,Jones,customer14@example.com,22-05-2022 00:00:00,Platinum,7,1128
15,Jane,Brown,customer15@example.com,18-12-2022 00:00:00,Bronze,30,918
16,Emily,Garcia,customer16@example.com,12-07-2022 00:00:00,Gold,7,1077
17,Sarah,Johnson,customer17@example.com,24-01-2022 00:00:00,Gold,3,1246
18,Sarah,Brown,customer18@example.com,04-02-2020 00:00:00,Bronze,1,1966
19,Jane,Brown,customer19@example.com,20-03-2021 00:00:00,Bronze,36,1556
20,Emily,Williams,customer20@example.com,02-04-2020 00:00:00,Platinum,25,1908
21,David,Brown,customer21@example.com,15-05-2023 00:00:00,Platinum,37,770
22,John,Garcia,customer22@example.com,18-12-2020 00:00:00,Bronze,1,1648
23,Emily,Garcia,customer23@example.com,21-06-2022 00:00:00,Bronze,15,1098
24,Jane,Smith,customer24@example.com,17-09-2023 00:00:00,Bronze,37,645
25,Sarah,Garcia,customer25@example.com,11-05-2022 00:00:00,Bronze,13,1139
26,David,Garcia,customer26@example.com,07-06-2020 00:00:00,Silver,40,1842
27,Emily,Williams,customer27@example.com,14-08-2022 00:00:00,Bronze,8,1044
28,John,Garcia,customer28@example.com,24-01-2020 00:00:00,Platinum,5,1977
29,John,Smith,customer29@example.com,07-02-2021 00:00:00,Gold,9,1597
30,Mike,Johnson,customer30@example.com,15-03-2022 00:00:00,Silver,1,1196
31,Mike,Williams,customer31@example.com,30-05-2021 00:00:00,Bronze,36,1485
32,Jane,Johnson,customer32@example.com,01-01-2022 00:00:00,Gold,35,1269
33,Emily,Williams,customer33@example.com,19-10-2023 00:00:00,Silver,2,613
34,Emily,Jones,customer34@example.com,06-11-2023 00:00:00,Gold,40,595
35,Sarah,Brown,customer35@example.com,15-06-2021 00:00:00,Bronze,23,1469
36,Sarah,Jones,customer36@example.com,13-08-2022 00:00:00,Bronze,9,1045
37,Sarah,Garcia,customer37@example.com,31-05-2020 00:00:00,Platinum,34,1849
38,Mike,Johnson,customer38@example.com,04-08-2022 00:00:00,Bronze,46,1054
39,Emily,Garcia,customer39@example.com,30-08-2021 00:00:00,Bronze,14,1393
40,Emily,Brown,customer40@example.com,23-02-2021 00:00:00,Silver,4,1581
41,John,Williams,customer41@example.com,27-06-2023 00:00:00,Platinum,30,727
42,Mike,Brown,customer42@example.com,14-02-2023 00:00:00,Silver,31,860
43,David,Smith,customer43@example.com,15-05-2022 00:00:00,Gold,38,1135
44,Mike,Brown,customer44@example.com,31-07-2021 00:00:00,Bronze,11,1423
45,David,Smith,customer45@example.com,30-11-2020 00:00:00,Gold,35,1666
46,John,Brown,customer46@example.com,12-12-2023 00:00:00,Silver,8,559
47,Jane,Smith,customer47@example.com,20-07-2022 00:00:00,Bronze,3,1069
48,Emily,Johnson,customer48@example.com,21-10-2020 00:00:00,Bronze,14,1706
49,John,Garcia,customer49@example.com,24-01-2022 00:00:00,Silver,13,1246
50,Emily,Garcia,customer50@example.com,26-10-2023 00:00:00,Silver,45,606
51,Sarah,Jones,customer51@example.com,04-07-2020 00:00:00,Silver,32,1815
52,Jane,Garcia,customer52@example.com,23-06-2023 00:00:00,Silver,34,731
53,Jane,Williams,customer53@example.com,28-09-2021 00:00:00,Silver,45,1364
54,John,Brown,customer54@example.com,15-07-2023 00:00:00,Bronze,19,709
55,Jane,Jones,customer55@example.com,14-06-2023 00:00:00,Silver,38,740
56,David,Williams,customer56@example.com,13-06-2021 00:00:00,Bronze,16,1471
57,Jane,Williams,customer57@example.com,21-01-2020 00:00:00,Bronze,2,1980
58,Emily,Smith,customer58@example.com,29-06-2022 00:00:00,Silver,40,1090
59,Emily,Garcia,customer59@example.com,16-05-2022 00:00:00,Silver,17,1134
60,Emily,Johnson,customer60@example.com,04-03-2022 00:00:00,Platinum,34,1207
61,Emily,Johnson,customer61@example.com,09-04-2020 00:00:00,Bronze,42,1901
